Nome / Razão Social;Vínculo com o RGP;Número no RGP;cidade;UF;Tipo de Pessoa
ANDREA **************;Indústria de pesca;SCI00034279 ;Itajaí,SC,Brasil;SC;Pessoa Jurídica
ANDRE ****************;Indústria de pesca;ROI00040278 ;Guajará-Mirim,RO,Brasil;RO;Pessoa Jurídica
ANJO ********************************;Indústria de pesca;SCI00030217 ;Laguna,SC,Brasil;SC;Pessoa Jurídica
ANTONIO ***********************;Indústria de pesca;SCI00032079 ;Laguna,SC,Brasil;SC;Pessoa Jurídica
ANTONIO ************************;Indústria de pesca;RSI00034797 ;Rio Grande,RS,Brasil;RS;Pessoa Jurídica
ANTONIO *************;Indústria de pesca;SPI00043206 ;Mogi das Cruzes,SP,Brasil;SP;Pessoa Jurídica
ANV **************;Indústria de pesca, Licença de aquicultor;AMI00036509,AMU11487767 ;Manaus,AM,Brasil;AM;Pessoa Jurídica
APARECIDA *************************;Indústria de pesca;SPI00042930 ;São Paulo,SP,Brasil;SP;Pessoa Jurídica
A.P. *****************;Indústria de pesca;AMI00041854 ;Tefé,AM,Brasil;AM;Pessoa Jurídica
APN *************************************************;Indústria de pesca;PAI00036287 ;Óbidos,PA,Brasil;PA;Pessoa Jurídica
AQUA *******************************;Indústria de pesca;AMI00043740 ;Manaus,AM,Brasil;AM;Pessoa Jurídica
AQUAMANIA *******;Indústria de pesca;CEI00037109 ;Fortaleza,CE,Brasil;CE;Pessoa Jurídica
AQUARIOCA ***********************;Indústria de pesca;RJI00042480 ;Rio de Janeiro,RJ,Brasil;RJ;Pessoa Jurídica
AQUARIO ***********;Indústria de pesca;SPI00044468 ;São José dos Campos,SP,Brasil;SP;Pessoa Jurídica
AQUARIO **************;Indústria de pesca;ESI00044048 ;Vila Velha,ES,Brasil;ES;Pessoa Jurídica
AQUARIO **************;Indústria de pesca;ESI00044048 ;Vila Velha,ES,Brasil;ES;Pessoa Jurídica
AQUARIUM ********************;Indústria de pesca;AMI00043764 ;Manaus,AM,Brasil;AM;Pessoa Jurídica
AQUICULTURA *****************;Indústria de pesca;BAI00042718 ;Cabaceiras do Paraguaçu,BA,Brasil;BA;Pessoa Jurídica
AROMAS **************************************************************************;Indústria de pesca;SCI00033599 ;Penha,SC,Brasil;SC;Pessoa Jurídica
AROMAS **************************************************************************;Indústria de pesca;SCI00033599 ;Penha,SC,Brasil;SC;Pessoa Jurídica
ASA ************************************;Indústria de pesca;ALI00038531 ;Arapiraca,AL,Brasil;AL;Pessoa Jurídica
ASIAMÉRICA **************************************;Indústria de pesca;RSI00003084 ;Rio Grande,RS,Brasil;RS;Pessoa Jurídica
ASIAMÉRICA **************************************;Indústria de pesca;RSI00003084 ;Rio Grande,RS,Brasil;RS;Pessoa Jurídica
ASMARANA **********************************************;Indústria de pesca;RNI00038307 ;Macaíba,RN,Brasil;RN;Pessoa Jurídica
Assessa ************************************;Indústria de pesca;RJI00034677 ;Rio de Janeiro,RJ,Brasil;RJ;Pessoa Jurídica
Associação *********************************;Indústria de pesca, Proprietário de embarcação;CEI00027098 ;Beberibe,CE,Brasil;CE;Pessoa Jurídica
ASSOCIAÇÃO ********************************;Indústria de pesca;AMI00040228 ;Carauari,AM,Brasil;AM;Pessoa Jurídica
ATLANFISH ***************************************************;Indústria de pesca;SCI00034001 ;Florianópolis,SC,Brasil;SC;Pessoa Jurídica
ATLANTA *************************;Indústria de pesca;GOI00033895 ;Aparecida de Goiânia,GO,Brasil;GO;Pessoa Jurídica
ATLANTA *************************;Indústria de pesca;GOI00033895 ;Aparecida de Goiânia,GO,Brasil;GO;Pessoa Jurídica
ATLÂNTICO *******************;Indústria de pesca;API00036787 ;Oiapoque,AP,Brasil;AP;Pessoa Jurídica
ATLAS ************;Indústria de pesca;AMI00043948 ;Manaus,AM,Brasil;AM;Pessoa Jurídica
ATUM *******************************************;Indústria de pesca;ESI00003106 ;Itapemirim,ES,Brasil;ES;Pessoa Jurídica
ATUM ********************************************;Indústria de pesca;BAI00041064 ;Alcobaça,BA,Brasil;BA;Pessoa Jurídica
BAHIA ***************************;Indústria de pesca;BAI00040326 ;Canavieiras,BA,Brasil;BA;Pessoa Jurídica
BALIX ************************************;Indústria de pesca;SPI00033737 ;Santos,SP,Brasil;SP;Pessoa Jurídica
Baran *********************************************;Indústria de pesca, Registro de aquicultor;SPI00043228,SPR00006024 ;São Paulo,SP,Brasil;SP;Pessoa Jurídica
